Region,Product_ID,Sales_Amount,Quantity_Sold,Unit_Price,Discount,Profit_Margin,Sales_Date,Sales_Channel,Customer_Segment
South,P3523,58.66,32,68.2,0.15,0.25,2024-02-06,Online,Corporate
East,P2320,372.65,33,35.67,0.11,0.21,2024-02-07,Wholesale,Small Business
Central,P7564,800.02,69,53.9,0.25,0.44,2024-02-08,Offline,Small Business
Central,P1554,982.46,8,87.68,0.27,0.16,2024-02-09,Wholesale,Retail
East,P5099,870.18,18,80.61,0.05,0.4,2024-02-10,Wholesale,Corporate
South,P5749,353.99,72,28.69,0.24,0.41,2024-02-11,Offline,Retail
East,P8595,616.84,88,10.33,0.21,0.18,2024-02-12,Online,Retail
Central,P2502,615.01,50,66.37,0.16,0.33,2024-02-13,Wholesale,Corporate
Central,P1506,968.77,48,28.81,0.23,0.38,2024-02-14,Offline,Small Business
West,P4256,203.89,77,33.56,0.12,0.11,2024-02-15,Online,Small Business
East,P5663,310.3,35,40.74,0.03,0.2,2024-02-16,Wholesale,Corporate
North,P2457,391.41,91,66.01,0.21,0.21,2024-02-17,Wholesale,Corporate
North,P8124,946.78,91,28.99,0.24,0.17,2024-02-18,Wholesale,Small Business
West,P5262,530.33,42,88.61,0.13,0.16,2024-02-19,Online,Corporate
East,P4667,624.16,22,59.74,0.22,0.11,2024-02-20,Offline,Small Business
West,P7760,236.02,8,69.56,0.23,0.36,2024-02-21,Wholesale,Retail
South,P3842,485.49,32,86.48,0.21,0.31,2024-02-22,Online,Corporate
South,P6011,171.94,95,63.21,0.29,0.39,2024-02-23,Wholesale,Small Business
West,P3047,728.55,65,99.81,0.23,0.1,2024-02-24,Wholesale,Retail
Central,P4563,131.97,22,14.45,0.28,0.36,2024-02-25,Offline,Retail
West,P6084,775.39,48,52.61,0.01,0.17,2024-02-26,Wholesale,Corporate
West,P7189,292.87,55,56.59,0.22,0.09,2024-02-27,Wholesale,Corporate
South,P6726,329.93,30,7.79,0.19,0.44,2024-02-28,Wholesale,Small Business
Central,P9969,580.1,63,57.17,0.08,0.19,2024-02-29,Online,Retail
West,P3027,315.69,63,82.46,0.08,0.28,2024-03-01,Wholesale,Retail
South,P8573,852.22,61,30.27,0.16,0.2,2024-03-02,Wholesale,Corporate
East,P4608,302.43,20,11.14,0.18,0.35,2024-03-03,Offline,Corporate
West,P2457,776.3,51,26.74,0.07,0.17,2024-03-04,Online,Retail
East,P8610,407.44,13,36.12,0.16,0.29,2024-03-05,Online,Retail
North,P1951,270.98,73,40.33,0.0,0.15,2024-03-06,Online,Small Business
South,P6803,134.26,72,27.55,0.15,0.41,2024-03-07,Online,Retail
North,P9020,608.95,70,56.86,0.24,0.39,2024-03-08,Offline,Retail
East,P2350,429.45,96,39.46,0.27,0.29,2024-03-09,Online,Retail
North,P3521,337.82,50,72.47,0.16,0.1,2024-03-10,Offline,Small Business
South,P8769,799.78,67,59.48,0.14,0.4,2024-03-11,Offline,Small Business
West,P2337,160.45,11,57.67,0.07,0.45,2024-03-12,Online,Small Business
South,P8437,615.02,54,63.3,0.08,0.06,2024-03-13,Wholesale,Corporate
East,P3381,711.77,67,97.1,0.07,0.33,2024-03-14,Online,Corporate
West,P8065,430.77,68,84.9,0.28,0.41,2024-03-15,Wholesale,Small Business
North,P2112,980.85,15,28.44,0.01,0.35,2024-03-16,Offline,Retail
North,P1660,805.74,44,26.41,0.1,0.42,2024-03-17,Online,Retail
North,P5613,869.44,56,79.14,0.21,0.38,2024-03-18,Wholesale,Small Business
South,P2765,729.85,23,50.66,0.29,0.4,2024-03-19,Wholesale,Corporate
Central,P3008,863.87,80,79.88,0.23,0.18,2024-03-20,Wholesale,Corporate
South,P9381,457.29,27,97.4,0.15,0.23,2024-03-21,Online,Retail
Central,P5706,775.63,41,51.9,0.09,0.05,2024-03-22,Online,Small Business
North,P7793,625.47,45,25.73,0.2,0.2,2024-03-23,Wholesale,Retail
Central,P2577,591.15,30,30.5,0.05,0.23,2024-03-24,Online,Small Business
East,P9445,776.12,42,68.87,0.27,0.22,2024-03-25,Offline,Small Business
North,P5884,898.95,48,87.52,0.11,0.08,2024-03-26,Offline,Retail
East,P7548,203.32,37,21.42,0.07,0.5,2024-03-27,Online,Corporate
East,P9863,363.05,75,33.96,0.14,0.11,2024-03-28,Wholesale,Small Business
South,P6132,658.51,87,20.95,0.06,0.24,2024-03-29,Online,Corporate
West,P1376,562.5,53,39.7,0.18,0.31,2024-03-30,Offline,Corporate
North,P3079,588.55,30,43.77,0.3,0.23,2024-03-31,Offline,Corporate
North,P5356,969.32,27,32.48,0.26,0.2,2024-04-01,Offline,Small Business
West,P3112,463.17,55,36.51,0.0,0.48,2024-04-02,Wholesale,Small Business
North,P2069,859.95,86,9.69,0.28,0.3,2024-04-03,Wholesale,Small Business
Central,P2018,55.59,68,60.82,0.2,0.45,2024-04-04,Offline,Retail
South,P3846,220.14,36,44.02,0.28,0.38,2024-04-05,Wholesale,Retail
Central,P3475,81.38,82,6.15,0.21,0.33,2024-04-06,Offline,Retail
South,P5957,665.68,87,82.97,0.21,0.12,2024-04-07,Wholesale,Corporate
West,P2006,931.95,99,70.08,0.03,0.49,2024-04-08,Offline,Retail
Central,P3452,496.29,73,20.16,0.01,0.49,2024-04-09,Wholesale,Retail
East,P7383,485.8,97,52.42,0.18,0.45,2024-04-10,Online,Small Business
West,P4004,697.96,26,19.62,0.08,0.24,2024-04-11,Wholesale,Small Business
East,P9562,438.88,7,47.15,0.21,0.41,2024-04-12,Wholesale,Corporate
East,P9857,78.41,79,6.81,0.03,0.22,2024-04-13,Online,Small Business
East,P9184,322.49,92,98.56,0.01,0.26,2024-04-14,Online,Small Business
West,P9441,164.32,43,75.58,0.22,0.14,2024-04-15,Offline,Retail
South,P9209,906.59,69,32.96,0.06,0.13,2024-04-16,Online,Retail
Central,P2213,775.33,1,61.63,0.09,0.15,2024-04-17,Wholesale,Small Business
West,P8656,601.54,42,20.11,0.13,0.48,2024-04-18,Offline,Small Business
East,P2944,636.08,26,48.28,0.02,0.32,2024-04-19,Online,Small Business
Central,P3316,251.44,22,66.81,0.27,0.31,2024-04-20,Offline,Corporate
Central,P3349,756.27,57,71.22,0.16,0.5,2024-04-21,Wholesale,Corporate
North,P5738,168.81,91,66.12,0.15,0.09,2024-04-22,Online,Retail
Central,P7717,627.21,71,26.65,0.01,0.44,2024-04-23,Online,Corporate
South,P6357,712.94,51,72.35,0.13,0.47,2024-04-24,Offline,Small Business
Central,P6301,735.21,31,62.65,0.26,0.27,2024-04-25,Online,Retail
South,P2111,124.62,82,13.24,0.19,0.29,2024-04-26,Online,Corporate
North,P2791,461.14,42,74.35,0.02,0.46,2024-04-27,Offline,Small Business
North,P3888,771.65,84,36.28,0.07,0.24,2024-04-28,Offline,Retail
Central,P6024,738.5,7,47.85,0.08,0.36,2024-04-29,Wholesale,Small Business
East,P9324,963.83,30,17.65,0.15,0.35,2024-04-30,Offline,Small Business
West,P7882,96.73,7,7.96,0.17,0.06,2024-05-01,Online,Small Business
North,P6964,567.72,70,42.44,0.04,0.45,2024-05-02,Wholesale,Retail
South,P1037,264.5,70,47.79,0.01,0.27,2024-05-03,Online,Corporate
West,P3866,548.72,9,5.77,0.16,0.16,2024-05-04,Offline,Small Business
East,P9132,580.57,20,83.04,0.08,0.43,2024-05-05,Wholesale,Retail
Central,P1214,585.59,81,73.55,0.24,0.14,2024-05-06,Offline,Retail
North,P5576,592.15,96,90.85,0.24,0.16,2024-05-07,Wholesale,Corporate
South,P1391,663.88,52,51.4,0.01,0.41,2024-05-08,Offline,Small Business
West,P8976,572.85,7,93.71,0.21,0.18,2024-05-09,Offline,Retail
North,P9078,986.61,84,49.03,0.23,0.19,2024-05-10,Online,Retail
South,P5063,466.96,90,77.42,0.02,0.39,2024-05-11,Online,Retail
Central,P3469,177.27,27,28.6,0.04,0.39,2024-05-12,Online,Small Business
South,P2653,890.5,68,70.34,0.09,0.28,2024-05-13,Online,Retail
Central,P2939,452.38,93,52.86,0.14,0.27,2024-05-14,Wholesale,Retail
East,P5644,499.79,50,15.45,0.11,0.12,2024-05-15,Wholesale,Corporate
East,P3182,395.81,76,52.45,0.21,0.24,2024-05-16,Wholesale,Retail
East,P1307,712.43,73,83.62,0.15,0.41,2024-05-17,Online,Retail
North,P2890,923.57,30,94.25,0.09,0.3,2024-05-18,Wholesale,Corporate
West,P4144,893.82,74,9.4,0.16,0.49,2024-05-19,Wholesale,Corporate
West,P4865,776.31,73,5.24,0.2,0.17,2024-05-20,Online,Small Business
East,P2294,664.15,6,77.3,0.3,0.2,2024-05-21,Online,Retail
West,P7189,932.67,57,12.05,0.04,0.28,2024-05-22,Wholesale,Corporate
South,P3125,958.04,34,48.26,0.05,0.47,2024-05-23,Wholesale,Corporate
South,P9823,410.18,72,8.78,0.05,0.38,2024-05-24,Online,Retail
North,P1785,986.81,4,80.58,0.27,0.39,2024-05-25,Offline,Retail
South,P9414,669.43,25,41.5,0.19,0.33,2024-05-26,Online,Retail
East,P7406,365.18,56,79.13,0.23,0.24,2024-05-27,Wholesale,Retail
North,P6896,674.69,1,85.44,0.2,0.32,2024-05-28,Offline,Small Business
West,P7038,370.45,31,36.05,0.18,0.21,2024-05-29,Offline,Small Business
North,P3214,920.99,68,28.98,0.23,0.42,2024-05-30,Online,Small Business
West,P9604,105.36,3,29.54,0.25,0.24,2024-05-31,Wholesale,Retail
North,P3893,275.02,14,26.0,0.01,0.09,2024-06-01,Offline,Corporate
North,P2370,911.64,23,78.83,0.03,0.47,2024-06-02,Offline,Corporate
Central,P1927,885.83,6,21.07,0.04,0.33,2024-06-03,Online,Retail
East,P4399,90.14,51,10.39,0.16,0.4,2024-06-04,Online,Retail
West,P1296,861.03,50,62.78,0.19,0.28,2024-06-05,Wholesale,Retail
East,P3318,346.3,58,96.24,0.15,0.43,2024-06-06,Offline,Retail
West,P7097,82.45,74,94.91,0.25,0.25,2024-06-07,Wholesale,Retail
East,P9157,535.24,92,73.93,0.04,0.18,2024-06-08,Wholesale,Retail
Central,P8007,453.36,64,82.55,0.01,0.45,2024-06-09,Offline,Corporate
Central,P3349,364.34,48,74.49,0.26,0.13,2024-06-10,Online,Corporate
West,P1202,697.04,68,34.42,0.12,0.45,2024-06-11,Wholesale,Retail
East,P3629,458.69,32,8.82,0.27,0.3,2024-06-12,Online,Corporate
East,P8185,950.13,72,79.54,0.03,0.4,2024-06-13,Wholesale,Corporate
South,P4394,937.26,45,27.78,0.3,0.17,2024-06-14,Online,Retail
South,P3252,410.44,60,93.23,0.23,0.25,2024-06-15,Online,Retail
South,P4458,698.75,54,29.32,0.14,0.47,2024-06-16,Offline,Small Business
Central,P3228,473.27,70,41.88,0.28,0.46,2024-06-17,Offline,Small Business
West,P1866,224.62,61,43.14,0.15,0.46,2024-06-18,Wholesale,Small Business
East,P7783,546.48,23,11.76,0.15,0.18,2024-06-19,Online,Small Business
South,P2838,880.89,95,33.01,0.08,0.26,2024-06-20,Online,Small Business
East,P4961,772.03,34,67.49,0.02,0.4,2024-06-21,Offline,Retail
North,P2232,929.96,84,67.72,0.05,0.29,2024-06-22,Offline,Retail
Central,P5180,895.91,19,61.09,0.06,0.49,2024-06-23,Wholesale,Small Business
North,P7858,989.26,26,43.2,0.26,0.29,2024-06-24,Offline,Corporate
North,P8754,133.99,75,86.64,0.22,0.32,2024-06-25,Online,Corporate
West,P7659,180.98,95,64.2,0.22,0.26,2024-06-26,Wholesale,Small Business
East,P4309,483.63,18,98.44,0.13,0.33,2024-06-27,Offline,Corporate
Central,P5489,936.31,1,86.14,0.26,0.3,2024-06-28,Online,Small Business
South,P7270,675.5,53,33.94,0.16,0.1,2024-06-29,Online,Corporate
North,P7117,94.96,27,15.03,0.03,0.08,2024-06-30,Online,Retail
West,P9537,964.24,83,20.51,0.07,0.19,2024-07-01,Online,Corporate
West,P4576,670.33,97,9.95,0.09,0.46,2024-07-02,Wholesale,Corporate
South,P1143,795.33,20,92.01,0.18,0.22,2024-07-03,Online,Small Business
West,P9113,127.07,54,57.45,0.06,0.08,2024-07-04,Online,Small Business
South,P3267,802.16,62,68.79,0.08,0.25,2024-07-05,Online,Retail
Central,P7589,648.85,80,13.15,0.09,0.07,2024-07-06,Wholesale,Small Business
West,P6686,925.2,47,59.37,0.09,0.23,2024-07-07,Wholesale,Small Business
West,P9700,704.88,98,31.62,0.0,0.22,2024-07-08,Online,Retail
West,P7881,226.39,74,98.35,0.07,0.47,2024-07-09,Online,Retail
Central,P3686,848.44,93,7.09,0.23,0.36,2024-07-10,Online,Retail
Central,P5244,393.98,98,53.4,0.03,0.13,2024-07-11,Wholesale,Corporate
North,P1928,683.49,15,46.71,0.2,0.32,2024-07-12,Wholesale,Corporate
North,P4847,598.31,93,34.72,0.05,0.38,2024-07-13,Online,Retail
East,P8431,573.37,8,86.91,0.01,0.12,2024-07-14,Online,Corporate
Central,P9264,827.51,84,31.07,0.19,0.27,2024-07-15,Offline,Corporate
North,P7488,564.76,23,46.67,0.15,0.49,2024-07-16,Offline,Retail
West,P1763,80.7,99,51.03,0.28,0.44,2024-07-17,Offline,Corporate
South,P1967,289.5,32,8.5,0.26,0.25,2024-07-18,Online,Small Business
Central,P5871,632.62,56,26.51,0.26,0.18,2024-07-19,Offline,Small Business
South,P1915,654.99,50,28.63,0.19,0.28,2024-07-20,Wholesale,Small Business
East,P6969,119.24,93,37.05,0.06,0.45,2024-07-21,Online,Small Business
East,P4313,917.17,86,56.3,0.17,0.1,2024-07-22,Offline,Small Business
West,P7980,65.1,11,64.18,0.1,0.26,2024-07-23,Online,Retail
South,P5829,124.71,16,42.05,0.22,0.2,2024-07-24,Wholesale,Retail
West,P2047,913.11,92,75.56,0.11,0.32,2024-07-25,Offline,Small Business
Central,P2258,600.27,29,25.22,0.25,0.08,2024-07-26,Wholesale,Retail
West,P2384,656.69,73,41.35,0.27,0.35,2024-07-27,Online,Retail
Central,P5689,955.8,50,20.13,0.11,0.41,2024-07-28,Online,Retail
South,P7209,169.04,94,53.05,0.29,0.3,2024-07-29,Offline,Corporate
North,P2922,996.42,61,95.15,0.22,0.49,2024-07-30,Online,Retail
Central,P3618,742.21,9,17.4,0.06,0.41,2024-07-31,Offline,Small Business
South,P5373,872.83,64,21.22,0.29,0.1,2024-08-01,Offline,Small Business
South,P1735,541.4,91,24.49,0.21,0.08,2024-08-02,Wholesale,Small Business
East,P7424,949.95,22,43.82,0.13,0.24,2024-08-03,Offline,Corporate
Central,P9846,204.63,62,98.98,0.21,0.28,2024-08-04,Offline,Retail
East,P2505,561.77,16,86.2,0.26,0.28,2024-08-05,Online,Retail
East,P7372,758.37,46,94.86,0.13,0.39,2024-08-06,Online,Small Business
North,P6208,761.38,76,79.85,0.0,0.24,2024-08-07,Online,Retail
North,P5916,75.1,46,69.17,0.08,0.15,2024-08-08,Offline,Small Business
Central,P8325,993.28,55,71.95,0.12,0.31,2024-08-09,Wholesale,Small Business
South,P4653,741.82,29,10.87,0.11,0.49,2024-08-10,Wholesale,Retail
Central,P4569,517.66,3,99.6,0.07,0.13,2024-08-11,Offline,Retail
North,P2112,812.78,59,37.67,0.13,0.29,2024-08-12,Online,Small Business
East,P7171,909.74,42,14.79,0.01,0.26,2024-08-13,Wholesale,Retail
West,P8194,333.65,17,33.07,0.26,0.11,2024-08-14,Offline,Corporate
South,P8878,285.16,93,84.13,0.17,0.1,2024-08-15,Wholesale,Corporate
North,P7557,440.75,62,98.01,0.1,0.2,2024-08-16,Wholesale,Retail
North,P9711,595.67,1,64.53,0.12,0.1,2024-08-17,Wholesale,Small Business
East,P6796,644.32,66,86.14,0.02,0.1,2024-08-18,Wholesale,Corporate
North,P6698,159.03,15,64.42,0.19,0.45,2024-08-19,Offline,Corporate
South,P2270,175.39,43,54.06,0.08,0.24,2024-08-20,Online,Corporate
North,P8962,815.8,14,26.47,0.29,0.25,2024-08-21,Offline,Corporate
North,P4034,719.38,82,24.19,0.23,0.46,2024-08-22,Offline,Corporate
West,P5977,503.81,67,67.47,0.29,0.22,2024-08-23,Online,Small Business
North,P7241,561.04,31,47.92,0.01,0.34,2024-08-24,Offline,Retail
North,P8612,948.36,88,87.04,0.03,0.49,2024-08-25,Offline,Retail
North,P1064,215.45,68,45.58,0.16,0.23,2024-08-26,Wholesale,Retail
South,P9029,357.25,17,27.49,0.13,0.47,2024-08-27,Online,Corporate
Central,P9971,485.9,6,27.36,0.06,0.13,2024-08-28,Offline,Small Business
North,P2307,589.74,52,25.06,0.18,0.38,2024-08-29,Wholesale,Small Business
Central,P3751,836.79,36,8.69,0.23,0.43,2024-08-30,Offline,Retail
East,P7242,856.03,32,9.81,0.13,0.39,2024-08-31,Online,Corporate
Central,P8483,164.13,16,68.81,0.06,0.13,2024-09-01,Online,Retail
North,P6945,361.08,42,35.81,0.06,0.38,2024-09-02,Wholesale,Corporate
North,P1273,818.79,25,89.83,0.23,0.25,2024-09-03,Online,Corporate
East,P7279,899.69,5,89.19,0.11,0.29,2024-09-04,Wholesale,Corporate
East,P6319,162.37,68,35.31,0.21,0.09,2024-09-05,Wholesale,Retail
North,P9118,152.99,44,98.82,0.17,0.28,2024-09-06,Online,Retail
East,P7216,871.79,6,28.16,0.16,0.09,2024-09-07,Offline,Retail
West,P8932,897.48,74,41.71,0.29,0.18,2024-09-08,Online,Retail
West,P8654,280.63,55,68.91,0.0,0.42,2024-09-09,Wholesale,Small Business
East,P4626,907.1,24,56.73,0.01,0.36,2024-09-10,Online,Retail
North,P9819,593.68,54,49.34,0.26,0.37,2024-09-11,Offline,Retail
Central,P5211,990.92,17,21.82,0.18,0.07,2024-09-12,Offline,Corporate
Central,P1214,173.57,52,45.42,0.13,0.3,2024-09-13,Online,Small Business
South,P1127,974.9,70,64.91,0.11,0.13,2024-09-14,Offline,Corporate
South,P6945,705.99,13,46.37,0.19,0.1,2024-09-15,Wholesale,Retail
West,P9512,686.97,13,88.8,0.06,0.17,2024-09-16,Online,Small Business
West,P1420,963.09,19,84.89,0.26,0.08,2024-09-17,Wholesale,Small Business
East,P9500,521.48,19,40.29,0.14,0.15,2024-09-18,Online,Retail
South,P5501,552.68,95,31.63,0.18,0.26,2024-09-19,Online,Corporate
Central,P9098,750.83,67,62.68,0.1,0.38,2024-09-20,Online,Small Business
Central,P2698,592.26,78,89.09,0.29,0.09,2024-09-21,Wholesale,Small Business
North,P9406,256.61,98,90.19,0.08,0.18,2024-09-22,Online,Small Business
Central,P4590,862.4,52,18.96,0.23,0.49,2024-09-23,Offline,Corporate
North,P8686,424.85,39,98.15,0.23,0.25,2024-09-24,Offline,Small Business
East,P6234,273.84,8,23.54,0.18,0.5,2024-09-25,Offline,Retail
South,P1728,155.9,22,76.36,0.2,0.14,2024-09-26,Wholesale,Small Business
West,P1879,201.91,87,29.35,0.03,0.3,2024-09-27,Offline,Retail
South,P6724,121.84,64,94.12,0.22,0.18,2024-09-28,Wholesale,Retail
South,P3457,559.5,23,74.16,0.05,0.27,2024-09-29,Wholesale,Retail
Central,P8330,375.72,84,79.04,0.04,0.15,2024-09-30,Offline,Corporate
Central,P7137,526.73,71,85.09,0.19,0.37,2024-10-01,Online,Corporate
East,P3425,678.15,8,8.41,0.08,0.45,2024-10-02,Online,Corporate
East,P1584,532.05,28,25.62,0.07,0.17,2024-10-03,Offline,Small Business
East,P2707,338.79,14,71.24,0.19,0.15,2024-10-04,Wholesale,Small Business
West,P9345,325.65,53,59.63,0.07,0.3,2024-10-05,Wholesale,Corporate
North,P3452,580.62,5,65.96,0.0,0.29,2024-10-06,Offline,Corporate
North,P7733,406.67,37,87.85,0.15,0.14,2024-10-07,Online,Retail
South,P5625,734.44,65,20.52,0.14,0.19,2024-10-08,Online,Small Business
South,P2276,235.98,94,86.28,0.28,0.4,2024-10-09,Online,Small Business
East,P3444,233.26,70,84.03,0.18,0.23,2024-10-10,Wholesale,Small Business
South,P6479,466.01,67,23.29,0.14,0.29,2024-10-11,Online,Small Business
North,P7303,949.11,46,47.84,0.03,0.41,2024-10-12,Offline,Corporate
North,P5830,427.71,74,17.51,0.28,0.06,2024-10-13,Wholesale,Retail
North,P8274,163.75,81,19.18,0.27,0.49,2024-10-14,Wholesale,Retail
Central,P4793,156.26,92,98.53,0.17,0.17,2024-10-15,Online,Corporate
North,P5828,472.57,3,24.13,0.19,0.18,2024-10-16,Offline,Small Business
Central,P6324,841.82,85,15.04,0.23,0.2,2024-10-17,Wholesale,Retail
North,P6699,825.44,22,49.39,0.03,0.5,2024-10-18,Wholesale,Small Business
South,P6395,883.5,95,53.04,0.26,0.13,2024-10-19,Offline,Corporate
West,P9373,852.5,78,80.51,0.04,0.38,2024-10-20,Wholesale,Corporate
West,P9687,504.89,60,93.81,0.12,0.29,2024-10-21,Offline,Retail
North,P3434,625.57,64,90.33,0.27,0.48,2024-10-22,Wholesale,Small Business
North,P9324,891.14,62,47.67,0.1,0.07,2024-10-23,Online,Retail
West,P8995,765.43,35,57.52,0.1,0.34,2024-10-24,Offline,Small Business
Central,P1313,663.95,58,45.75,0.29,0.4,2024-10-25,Online,Retail
East,P1801,309.47,25,83.96,0.12,0.25,2024-10-26,Online,Small Business
South,P6279,498.45,1,59.72,0.07,0.2,2024-10-27,Wholesale,Corporate
West,P1957,77.44,49,52.81,0.2,0.19,2024-10-28,Wholesale,Small Business
West,P9857,131.43,73,54.22,0.23,0.45,2024-10-29,Offline,Corporate
Central,P9991,252.58,23,8.46,0.04,0.47,2024-10-30,Online,Retail
South,P1513,956.84,88,29.23,0.1,0.27,2024-10-31,Online,Small Business
West,P1903,722.8,37,90.42,0.14,0.49,2024-11-01,Offline,Corporate
West,P5425,926.2,67,8.2,0.28,0.24,2024-11-02,Offline,Corporate
West,P6838,912.85,58,99.38,0.27,0.22,2024-11-03,Wholesale,Retail
Central,P1753,454.61,42,5.87,0.15,0.31,2024-11-04,Wholesale,Small Business
North,P9066,107.36,76,59.53,0.02,0.32,2024-11-05,Wholesale,Corporate
South,P5940,768.31,10,99.45,0.09,0.31,2024-11-06,Offline,Small Business
Central,P1213,287.23,1,22.46,0.14,0.27,2024-11-07,Wholesale,Corporate
North,P3090,152.89,89,49.13,0.1,0.49,2024-11-08,Online,Small Business
East,P9584,945.0,88,34.47,0.07,0.13,2024-11-09,Wholesale,Corporate
West,P8284,678.32,74,32.68,0.05,0.23,2024-11-10,Online,Corporate
South,P9315,144.96,57,13.56,0.18,0.17,2024-11-11,Wholesale,Retail
East,P4824,907.21,58,98.28,0.05,0.42,2024-11-12,Wholesale,Small Business
North,P9192,693.14,20,74.12,0.05,0.2,2024-11-13,Offline,Corporate
East,P4258,348.2,73,20.46,0.24,0.39,2024-11-14,Wholesale,Corporate
East,P6530,369.82,40,90.31,0.21,0.22,2024-11-15,Offline,Small Business
North,P4233,464.03,38,12.12,0.28,0.13,2024-11-16,Online,Retail
South,P8698,808.44,66,27.89,0.03,0.29,2024-11-17,Online,Small Business
West,P6966,554.2,95,47.34,0.16,0.14,2024-11-18,Online,Small Business
Central,P6472,522.01,81,93.55,0.21,0.31,2024-11-19,Wholesale,Corporate
East,P5762,64.62,17,17.55,0.17,0.31,2024-11-20,Online,Retail
North,P5637,516.55,39,87.4,0.28,0.38,2024-11-21,Offline,Retail
North,P8765,931.84,30,63.95,0.27,0.31,2024-11-22,Online,Small Business
East,P1273,73.24,72,77.06,0.01,0.19,2024-11-23,Offline,Corporate
Central,P7824,242.05,67,35.88,0.3,0.34,2024-11-24,Offline,Retail
East,P9827,510.95,1,20.62,0.28,0.3,2024-11-25,Wholesale,Small Business
West,P5750,412.75,75,64.94,0.17,0.1,2024-11-26,Offline,Corporate
South,P2296,954.18,20,45.87,0.09,0.44,2024-11-27,Offline,Corporate
South,P3149,683.42,49,33.77,0.25,0.33,2024-11-28,Online,Retail
North,P4509,526.63,57,77.1,0.02,0.1,2024-11-29,Online,Small Business
East,P7743,749.49,62,99.93,0.26,0.37,2024-11-30,Offline,Corporate
East,P1762,420.48,14,22.81,0.25,0.12,2024-12-01,Wholesale,Retail
East,P3412,403.47,69,38.88,0.08,0.42,2024-12-02,Wholesale,Small Business
South,P4858,80.21,9,27.67,0.21,0.39,2024-12-03,Online,Retail
East,P7773,513.29,40,75.87,0.05,0.48,2024-12-04,Wholesale,Small Business
South,P6108,399.19,99,40.2,0.28,0.23,2024-12-05,Wholesale,Retail
West,P6019,326.69,10,35.02,0.2,0.09,2024-12-06,Online,Small Business
Central,P1146,688.03,95,8.7,0.02,0.21,2024-12-07,Online,Small Business
Central,P1136,670.39,82,7.34,0.13,0.29,2024-12-08,Online,Retail
North,P8462,173.64,9,86.5,0.3,0.06,2024-12-09,Wholesale,Corporate
South,P8480,782.93,13,47.37,0.22,0.1,2024-12-10,Online,Small Business
